user_id,games_purchased,games_played,total_playtime,avg_playtime_per_game
33866564,3,1,1.6,1.6
33904278,10,3,404.2,134.733333333333
33910513,8,4,150.8,37.7
33934276,1,0,0,0
33993318,6,2,20.6,10.3
33995654,8,5,1794.8,358.96
34040508,9,5,552.4,110.48
34102593,10,4,1386.2,346.55
34124250,6,1,0.2,0.2
34150817,1,0,0,0
34161935,5,0,0,0
34177747,159,91,5776.3,63.4758241758242
34281672,53,31,383.6,12.3741935483871
34383588,3,1,9.6,9.6
34384042,6,3,17.8,5.93333333333333
34442062,17,13,1415.2,108.861538461538
34556248,4,3,5.5,1.83333333333333
34582304,22,19,300.2,15.8
34618463,3,0,0,0
34658438,6,3,5.6,1.86666666666667
34679511,1,0,0,0
34858979,4,4,10.9,2.725
34863766,4,0,0,0
34901647,117,71,1617.9,22.787323943662
34919318,154,84,1860.5,22.1488095238095
34960438,4,1,27.0,27.0
34965931,2,1,11.6,11.6
34972055,1,1,389.0,389.0
35009482,22,17,678.7,39.9235294117647
35021321,1,1,0.1,0.1
35039277,76,35,389.9,11.14
35045250,1,1,0.3,0.3
35047392,9,9,396.0,44.0
35116894,2,0,0,0
35140004,10,3,531.0,177.0
35153301,4,4,236.2,59.05
35177894,12,9,217.9,24.2111111111111
35192186,8,0,0,0
35192299,6,2,258.2,129.1
35220143,6,1,1.8,1.8
35227774,10,3,1.1,0.366666666666667
35264447,10,4,125.4,31.35
35290890,6,1,0.2,0.2
35330593,9,5,34.2,6.84
35355224,5,1,7.1,7.1
35370794,1,1,104.0,104.0
35388317,6,3,15.1,5.03333333333333
35394734,6,1,43.0,43.0
35418544,1,0,0,0
35419030,3,2,1.9,0.95
35432082,2,0,0,0
35433662,5,5,71.2,14.24
35442153,1,1,0.4,0.4
35489574,6,1,1.5,1.5
35560181,3,1,8.1,8.1
